name,mAP,AP50,mse,psnr,ssim,lpips,marker_detected,marker_dist_err,marker_color_err,pose_oks
validation_outputs_coco_Wan2.2-TI2V-5B_full_temporal_loss0_01_norm_cap0_1_warmup5000_10000steps,0.0,0.0,0.006360695545057146,25.221210384368895,0.9028487304846445,0.09148781634867191,0.9333333333333333,209.37076347899242,228.30303111047388,1.0539298182358004e-34
validation_outputs_coco_Wan2.2-TI2V-5B_full_temporal_loss0_01_norm_cap0_1_warmup5000_20000steps,0.0,0.0,0.008317042494309135,23.82168003718058,0.8811783482631047,0.11124804889162382,0.9333333333333333,213.05042723183834,229.51466738602156,2.6241413130921377e-40
validation_outputs_coco_Wan2.2-TI2V-5B_full_temporal_loss0_01_norm_cap0_1_warmup5000_30000steps,0.0,0.0,0.006889402486073474,24.453118483225506,0.9013532141844431,0.09775105031828085,0.9333333333333333,216.74289022417378,255.36399711494707,3.395890480127431e-37
validation_outputs_coco_Wan2.2-TI2V-5B_full_temporal_loss0_01_norm_cap0_1_warmup5000_40000steps,0.0,0.0,0.006170888386744385,25.10960054397583,0.9115910490353902,0.08941366542130709,0.9333333333333333,217.52905521375143,236.67105650005576,7.177988461721655e-39
validation_outputs_coco_Wan2.2-TI2V-5B_full_temporal_loss0_01_norm_cap0_1_warmup5000_50000steps,0.0,0.0,0.006788937840610743,24.584823671976725,0.9038425068060557,0.09628738810618719,0.9333333333333333,193.979244196252,225.12785292892383,4.750352767679706e-40
validation_outputs_coco_Wan2.2-TI2V-5B_full_temporal_ma_mono_10000steps,,,0.09261785633862019,11.129396263758341,0.35594091763099034,0.8210843245188395,0.9333333333333333,248.66692273556322,210.11708282924087,0.0
validation_outputs_coco_Wan2.2-TI2V-5B_full_temporal_ma_mono_20000steps,0.0,0.0,0.09615862568219503,11.064309549331664,0.357017020881176,0.818342649936676,0.9333333333333333,241.3963030835353,205.85331693037685,6.6373746526974684e-21
validation_outputs_coco_Wan2.2-TI2V-5B_full_temporal_ma_mono_30000steps,,,0.09274677435557048,11.183969608942668,0.35882817606131234,0.8210564017295837,0.9333333333333333,230.30737059571894,208.74295387355627,0.0
validation_outputs_coco_Wan2.2-TI2V-5B_full_temporal_ma_mono_40000steps,,,0.09618473264078299,11.062423880894979,0.359983092546463,0.8214308818181356,0.9333333333333333,227.03473889509266,205.41163388004878,0.0
validation_outputs_coco_Wan2.2-TI2V-5B_full_two_dataset_10000steps,0.0,0.0,0.011925757084585105,23.30852533976237,0.8495138694842657,0.14282431099563836,0.9333333333333333,232.48846424641903,240.47333178128432,2.1666786251645345e-29
validation_outputs_coco_Wan2.2-TI2V-5B_full_two_dataset_20000steps,0.0,0.0,0.00846086720121093,24.27277765274048,0.8794266601403554,0.11247303374111653,0.9333333333333333,212.85972852454503,251.8129874590254,6.391917407413484e-42
validation_outputs_coco_Wan2.2-TI2V-5B_full_two_dataset_30000steps,0.0,0.0,0.008182275124515097,23.979608917236327,0.8862887978553772,0.10942605783541998,0.9333333333333333,193.3573883216349,237.36195480738488,1.3618923687218997e-42
validation_outputs_coco_temporal_loss0_01_cap0_02_warmup5000_10000steps,0.0,0.0,0.007399175394675694,24.514839076995848,0.8924408892790476,0.10440381554265817,0.9,221.9421608300258,243.2033590950911,4.819158595149296e-21
validation_outputs_coco_temporal_loss0_01_cap0_02_warmup5000_20000steps,0.0,0.0,0.007821204103917505,24.139361635843912,0.8873340040445328,0.10724925318111976,0.9333333333333333,198.87530867726568,241.9950776746075,2.492562095144379e-23
validation_outputs_coco_temporal_loss0_01_cap0_02_warmup5000_30000steps,0.0,0.0,0.010474052691521744,23.198110230763753,0.8585339059432348,0.12983649621407192,0.9,242.3427183416415,254.9272615606324,6.881331459133744e-31
validation_outputs_coco_temporal_loss0_01_cap0_02_warmup5000_40000steps,0.0,0.0,0.005561141983101455,25.0569016456604,0.910909907023112,0.08870297788331906,0.9333333333333333,166.9244313085514,220.15320602794245,4.920654644397858e-40
validation_outputs_coco_temporal_loss0_01_cap0_02_warmup5000_50000steps,0.0,0.0,0.00613463683015046,25.262878640492758,0.915879225730896,0.08616685929397742,0.9,197.62348077070013,251.9821888911311,2.8084420757656464e-37
